objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
227,E07000209,Guildford, ,500408,151481,-0.56257,51.2537,0.0348951528221709,1.46533899393244
228,E07000210,Mole Valley, ,518377,148953,-0.30603,51.2275,0.0332327681757684,1.18511263961015
229,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.2585,0.0166269528888384,0.896264612145781
230,E07000212,Runnymede, ,501777,166979,-0.53855,51.3927,0.0100822475007279,0.526346966715177
231,E07000213,Spelthorne, ,507012,169622,-0.46254,51.4155,0.00661363959167223,0.516160666475115
232,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.3361,0.0122683770966695,0.633792384122765
233,E07000215,Tandridge, ,536365,150325,-0.04805,51.2358,0.0319384505109369,0.913696904861345
234,E07000216,Waverley, ,496363,140635,-0.62343,51.1569,0.0443563820367635,1.45353167486228
235,E07000217,Woking, ,499087,157542,-0.57982,51.3084,0.00819620548910463,0.63926836327804
236,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.5648,0.037676009942759,1.35311617458312
237,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.5009,0.010456007118843,0.580482341787421
238,E07000220,Rugby, ,446498,276244,-1.31828,52.3823,0.0466810529361631,1.33953823711005
239,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.1615,0.12853930264712,3.01107406160656
240,E07000222,Warwick, ,428484,267113,-1.58369,52.3014,0.037292263237512,1.35153336878214
241,E07000223,Adur, ,518065,106473,-0.32433,50.8457,0.00535535081775486,0.663128112639863
242,E07000224,Arun, ,495145,105724,-0.64998,50.8432,0.028202805124181,1.77694955278947
243,E07000225,Chichester, ,490285,116600,-0.7163,50.9418,0.100587341547551,2.73203663985223
244,E07000226,Crawley, ,526390,137581,-0.19533,51.1236,0.00577453691677975,0.453641236432359
245,E07000227,Horsham, ,513676,123839,-0.38123,51.0027,0.0679047340349838,2.39920617948329
246,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.0595,0.0427916146736505,1.48208375837898
247,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,0.00414872876526332,0.335520523179059
248,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.3617,0.0286439625156164,1.32226829459471
249,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.1676,0.0758628316778654,2.65754434254411
250,E07000236,Redditch, ,403705,265253,-1.9471,52.2854,0.00714971908025841,0.479970526502297
251,E07000237,Worcester, ,385725,255196,-2.21025,52.1948,0.00437840565478864,0.363787655308352
252,E07000238,Wychavon, ,398991,247839,-2.01614,52.1289,0.0871816747726803,2.55254634785623
253,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,0.0258032500014004,1.17910193660181
