,Venue,Latitude,Longitude,Group,Category
112,Waterfall Pool,51.4698068877031,-0.1838427820738074,Well-Being,Pool
113,Clapham Pool,51.46721852527236,-0.13721350341042868,Well-Being,Pool
114,Harbour Club Kensington,51.495131,-0.187962,Well-Being,Pool
116,Serpentine Lido,51.50467450799714,-0.16933101300483847,Well-Being,Pool
117,Virgin Active Swimming Pool,51.493136,-0.219657,Well-Being,Pool
119,park walk school pool,51.48411398737326,-0.17772477931440225,Well-Being,Pool
121,Ethos Swimming Pool,51.500046,-0.173437,Well-Being,Pool
122,Virgin pool,51.48437614812253,-0.208740234375,Well-Being,Pool
126,Palgrave Gardens Pool,51.526113387477444,-0.16439330249600476,Well-Being,Pool
127,Central YMCA Club,51.517285419419636,-0.13033096953133166,Well-Being,Pool
129,The Peak Health Club & Spa,51.49863235665234,-0.15843414294587846,Well-Being,Pool
130,Marriott Park Lane Swimming Pool,51.51303,-0.157643,Well-Being,Pool
131,Hampstead Heath Paddling Pool,51.556570478891565,-0.15778824083099605,Well-Being,Pool
134,ULU Swimming Pool,51.5223635821385,-0.13126992511121496,Well-Being,Pool
135,Marshall Street Leisure Centre,51.51353329895876,-0.13809190239227628,Well-Being,Pool
136,London No.1 Scuba Diving Club,51.51861084753141,-0.16292810440063477,Well-Being,Pool
138,Pool Clayton Crown,51.558144,-0.21364532,Well-Being,Pool
139,RR Swimmingpool,51.548095659275944,-0.2116632694762638,Well-Being,Pool
141,В Бассейне,51.57884967927813,-0.1686889777105845,Well-Being,Pool
142,Park Road Pools & Fitness,51.583408131182,-0.12996658412033124,Well-Being,Pool
143,Highgate School Mallison Sports Centre,51.573832750534606,-0.1556472994456022,Well-Being,Pool
146,Oakleigh Park School Of Swimming,51.628744380967696,-0.16915835974385346,Well-Being,Pool
148,Better Church Farm Swimming Pool,51.635001,-0.156975,Well-Being,Pool
151,Trent Park Swimming Pool,51.65983,-0.13427,Well-Being,Pool
152,Furzefield Centre Gym,51.700962749393426,-0.20726521443653576,Well-Being,Pool
153,Furzefield Squash Courts,51.70094319053785,-0.2074924518588579,Well-Being,Pool
154,Village Health Club,51.29133375202164,-0.10513734517713083,Well-Being,Pool
155,Waddon Leisure Centre,51.3641586840288,-0.118074888726812,Well-Being,Pool
156,Aquatots South Croydon,51.364459,-0.103263,Well-Being,Pool
157,TinyFins,51.3642406057004,-0.10309415998831814,Well-Being,Pool
158,Bramley Hill Centre,51.36432,-0.103166,Well-Being,Pool
159,lodge scuba,51.37503673904354,-0.09737061772155144,Well-Being,Pool
160,South Norwood Leisure Centre,51.393738440936865,-0.0672835719542787,Well-Being,Pool
164,Cannons Health Club and Spa,51.36703521821729,-0.09302751474480658,Well-Being,Pool
165,Better Streatham Ice and Leisure Centre,51.42407397799942,-0.1306373448545245,Well-Being,Pool
166,West Norwood Health and Leisure Centre,51.432454186268764,-0.1056460264320674,Well-Being,Pool
167,Tooting Bec Lido,51.43240016415257,-0.13971841013308497,Well-Being,Pool
168,streatham common paddling pool,51.42284163121517,-0.11916336650390578,Well-Being,Pool
169,Brockwell Lido,51.45334654036431,-0.10582104118654179,Well-Being,Pool
172,Dulwich College Pool,51.44084776208978,-0.08269786834716797,Well-Being,Pool
173,Brixton Recreation Centre,51.463463634058506,-0.11279538906065657,Well-Being,Pool
174,Paddling Pool,51.465905718862984,-0.09548664093017578,Well-Being,Pool
175,Bernard Myers Swimming Pool,51.47756351542585,-0.0859358944245427,Well-Being,Pool
176,The Belmont Pool & Spa,51.482135,-0.134862,Well-Being,Pool
177,Fitness Gallery,51.51031833953911,-0.12055456638336182,Well-Being,Pool
181,Water Babies Guys & St Thomas',51.499377,-0.116725,Well-Being,Pool
182,Metro Central Heights Pool-Steam Room-Jacuzzi,51.496329886529374,-0.09879491270051947,Well-Being,Pool
186,Whitehouse Leisure Centre,51.50535528902893,-0.11525368726832652,Well-Being,Pool
187,The Sanctuary,51.512308144971556,-0.12416481971740723,Well-Being,Pool
188,Swimming Class UK,51.52216908569944,-0.10764241218566895,Well-Being,Pool
191,Ned’s Club Spa,51.513791,-0.089556,Well-Being,Pool
192,Ozone Health and Fitness Club,51.526589134842794,-0.11379206312835931,Well-Being,Pool
193,Nuffield Health Bloomsbury Swimming pool,51.52403821763163,-0.11838197708129883,Well-Being,Pool
194,Otium health and spa,51.52772830851248,-0.09627320259948528,Well-Being,Pool
196,Lexicon Pool,51.530120074175315,-0.09735670154045228,Well-Being,Pool
199,Golden Lane Leisure Centre,51.5216766646349,-0.0967490880864535,Well-Being,Pool
200,Better Oasis Sports Centre,51.51573217721804,-0.1259601876725388,Well-Being,Pool
202,Better Highbury Pool & Fitness Centre,51.54758664056871,-0.10393114791127232,Well-Being,Pool
203,Cally Pool & Gym,51.538550377291976,-0.1166270741000282,Well-Being,Pool
204,Pancras Square Leisure Centre,51.53370945339268,-0.1265462880792081,Well-Being,Pool
206,Oasis Outdoor Swimming Pool,51.51571424734388,-0.12593794049421292,Well-Being,Pool
208,Parliament Hill Lido,51.5561719408144,-0.15071997748241053,Well-Being,Pool
212,Priory Park Paddling Pool,51.58559,-0.125386,Well-Being,Pool
215,South Harringay Swimming Pool,51.58007543710116,-0.10095632779678734,Well-Being,Pool
218,Southgate Leisure Centre,51.63424182827471,-0.12419763176860184,Well-Being,Pool
220,Arnos Pool,51.615708611526074,-0.13022430078603633,Well-Being,Pool
225,Aquatots Selsdon,51.33430807043419,-0.05668665651281169,Well-Being,Pool
233,The Spa at Beckenham,51.40882114368187,-0.03768208535530684,Well-Being,Pool
234,West Wickham Leisure Centre,51.37980942728309,-0.014032287318329194,Well-Being,Pool
235,Crystal Palace National Sports Centre,51.4206423981898,-0.06766450229263929,Well-Being,Pool
238,Training Pool,51.4204,-0.067464,Well-Being,Pool
239,Peckham Lido,51.463068,-0.065431,Well-Being,Pool
240,Glass Mill Leisure Centre,51.46379444791029,-0.013757856422753985,Well-Being,Pool
241,Wavelengths Leisure Centre,51.477669517599786,-0.02311817005138304,Well-Being,Pool
242,pool,51.50299835205078,-0.07329999655485153,Well-Being,Pool
243,St George's Leisure Centre,51.50992981845807,-0.05790467121408318,Well-Being,Pool
246,Wavelengths Leisure Centre Swimming Pool,51.48657003501877,-0.043845601109838275,Well-Being,Pool
249,Orchard Lisle Swimming Pool,51.502781065730694,-0.08578417044470647,Well-Being,Pool
251,Better York Hall Leisure Centre,51.52949191587118,-0.05536726631527795,Well-Being,Pool
252,London Fields Lido,51.54226265721643,-0.061338514837554474,Well-Being,Pool
254,Poplar Baths,51.51117186773802,-0.013758091743999142,Well-Being,Pool
255,Better Kings Hall Leisure Centre,51.55078085348641,-0.052495468224467906,Well-Being,Pool
256,Cascades Tower Pool,51.50253677368164,-0.026641041040420532,Well-Being,Pool
257,new providence wharf Spa Resort,51.5123527433783,-0.029483135868273353,Well-Being,Pool
258,London Fields paddling pool,51.54318572423199,-0.060896873474121094,Well-Being,Pool
259,Save Haggerston Pool,51.53601839615203,-0.07028685186953576,Well-Being,Pool
260,New Caledonian Wharf Pool,51.49708258379547,-0.033528646870534425,Well-Being,Pool
261,Free Trade Wharf Leisure Centre,51.51009415624217,-0.0457970209155795,Well-Being,Pool
262,New Caledonian Wharf,51.497349089501654,-0.03336668014526367,Well-Being,Pool
263,Bow Quarter Gym,51.53153440623532,-0.020839715024091585,Well-Being,Pool
264,Clissold Park Paddling Pool,51.560037927431694,-0.08745832267684349,Well-Being,Pool
268,clissold leisure pool,51.55952072143555,-0.08529200404882431,Well-Being,Pool
271,Waltham Forest Feel Good Centre,51.59324372679499,-0.014341589650332545,Well-Being,Pool
272,Waltham Forest College Swimming Pool,51.5911675772713,-0.010165190500094191,Well-Being,Pool
273,Biggin Hill Memorial Pool,51.31212386996767,0.034592676379682975,Well-Being,Pool
274,Pavilion Leisure Centre,51.403781401885205,0.018282276348230722,Well-Being,Pool
276,Andace Gym,51.407055816670976,0.02856719107091618,Well-Being,Pool
277,Andace Pool,51.4070865173054,0.02850503163372053,Well-Being,Pool
281,Better Charlton Lido and Lifestyle Club,51.475089332202884,0.038429203402658485,Well-Being,Pool
282,The Eltham Centre,51.451318442813275,0.05767668365585441,Well-Being,Pool
283,Burrells Wharf Swimming Pool,51.48794144097235,-0.019627647722724212,Well-Being,Pool
284,London Royal Docks OWS,51.507151832298604,0.017348527908325192,Well-Being,Pool
288,Swimming Pool,51.486,0.007897094,Well-Being,Pool
289,City Island Health Club,51.511561,0.005464,Well-Being,Pool
290,City Island Swimming Pool,51.51151,0.005346,Well-Being,Pool
291,The Quad Spa,51.50808941411728,0.019435594809017714,Well-Being,Pool
297,discovery dock basement pool,51.50155594474269,-0.018531896891849628,Well-Being,Pool
