,Venue,Latitude,Longitude,Group,Category
106,Mandeville School,51.54987777655634,-0.3367137908935547,Education,Elementary_School
107,Buxlow Prepartory School,51.56159890726834,-0.29604710248956284,Education,Elementary_School
108,Barham Primary School,51.54959087887678,-0.30734863397329154,Education,Elementary_School
109,byron court primary school,51.5695006703983,-0.3113510683016177,Education,Elementary_School
110,Krishna Avanti Primary School,51.604214,-0.28107807,Education,Elementary_School
111,Menorah Foundation Primary School,51.607389504007934,-0.2657019411569435,Education,Elementary_School
112,Whitchurch Primary School,51.607605,-0.30370954,Education,Elementary_School
113,Alyward Primary School,51.617074170545706,-0.29840151391034225,Education,Elementary_School
114,Kingsbury Green Primary School,51.583096,-0.269506,Education,Elementary_School
116,st johns church of england school stanmore,51.62245501078864,-0.318534383607481,Education,Elementary_School
118,Bushey Heath Primary School,51.637141,-0.341701,Education,Elementary_School
121,Cowley Hill School,51.664757,-0.27377543,Education,Elementary_School
122,Monksmead School,51.65665427679995,-0.26422202624141294,Education,Elementary_School
123,Parkside Primary School,51.66994373338539,-0.2805906519952619,Education,Elementary_School
124,Hertsmere Jewish Primary School,51.668906,-0.305657,Education,Elementary_School
125,Cheam Common Infants' School,51.37593534838188,-0.23836562848854612,Education,Elementary_School
126,Cheam Common Junior Academy,51.37529378063794,-0.2379676550549975,Education,Elementary_School
128,Meadow Primary School,51.36644535537421,-0.23649187977633918,Education,Elementary_School
129,Dorchester Primary School,51.380394,-0.23121,Education,Elementary_School
132,BEC education,51.3794059753418,-0.24326129257678986,Education,Elementary_School
133,Wimbledon Chase Primary School,51.41264523239101,-0.21198281313839157,Education,Elementary_School
134,West Wimbledon Primary School,51.40527689728677,-0.23504921026169734,Education,Elementary_School
135,The Ursuline Prepatory School Wimbeldon,51.41566975000021,-0.22213917870460065,Education,Elementary_School
136,Sacred Heart RC Primary School,51.41922999930791,-0.24064886941227806,Education,Elementary_School
138,Hollymount,51.41464,-0.231025,Education,Elementary_School
139,Cheam Fields Primary School,51.36552101209032,-0.2191096544265747,Education,Elementary_School
140,Coombe Hill Primary School,51.41512633136402,-0.26678762546941226,Education,Elementary_School
141,Dicky Birds New Malden,51.411992950874755,-0.2672685079569919,Education,Elementary_School
146,Hall School,51.43670126020842,-0.24390734963604316,Education,Elementary_School
149,Prospect House School,51.45139252656887,-0.22030510472711826,Education,Elementary_School
150,Riversdale Primary School,51.44785,-0.199615,Education,Elementary_School
151,Our Lady Queen Of Heaven RC Primary School,51.447383689082926,-0.22060184622384674,Education,Elementary_School
152,Albemarle Primary School,51.442031,-0.213157,Education,Elementary_School
153,Fulham Prep School,51.47769625975717,-0.2104544675975369,Education,Elementary_School
154,Queens Manor Primary School,51.47985227517827,-0.22154267417505374,Education,Elementary_School
158,New Kings Primary School,51.469898187418714,-0.20018281048083622,Education,Elementary_School
159,Queensmill Primary School,51.471739536473095,-0.19730185893324212,Education,Elementary_School
160,St Thomas of Canterbury Catholic Primary School,51.48041357123768,-0.20738887070784118,Education,Elementary_School
161,Belmont Primary School,51.493158169677976,-0.26340339909152805,Education,Elementary_School
162,Lowther Primary School,51.4837729562899,-0.23812739922461063,Education,Elementary_School
163,Strand On The Green Infant And Nursery School,51.4874779329703,-0.2813617396659405,Education,Elementary_School
164,Miles Coverdale,51.50409428975222,-0.22863842846247992,Education,Elementary_School
165,Brackenbury School,51.49947417181994,-0.2329166798732129,Education,Elementary_School
167,Grove Park Primary School,51.48491632143703,-0.27158761183757596,Education,Elementary_School
170,Kenmont Primary School,51.52584366242629,-0.23503824379732596,Education,Elementary_School
171,St. Charles RC Primary School,51.521862414811004,-0.21472817513184295,Education,Elementary_School
172,St Mary Magdalene Primary School,51.5222789478958,-0.1888915880470709,Education,Elementary_School
173,Avondale Primary School,51.5106890452298,-0.21424184331146356,Education,Elementary_School
176,Colville Primary School,51.51456805923319,-0.20353432918577222,Education,Elementary_School
177,Salusbury Primary School,51.535921576598795,-0.20557617124068625,Education,Elementary_School
178,St Peter's CE Primary School,51.520889803813,-0.2016475901169725,Education,Elementary_School
179,Gladstone Park Primary School,51.552663,-0.234514,Education,Elementary_School
180,Nw London Jewish Day School,51.544807,-0.211749,Education,Elementary_School
181,Larmenier and Sacred Heart Catholic Primary School,51.49543427422008,-0.2184098519912594,Education,Elementary_School
182,Carlton Vale Primary School,51.532483,-0.200137,Education,Elementary_School
183,stewart international school,51.517497799710824,-0.20882931544928096,Education,Elementary_School
184,St. Francis Of Assisi Catholic Primary School,51.512172,-0.216528,Education,Elementary_School
185,Essendine Primary School,51.528178,-0.194526,Education,Elementary_School
186,Denbigh under fives nursery,51.51356887817383,-0.2006278932094574,Education,Elementary_School
187,Jellitots,51.53570615238095,-0.20227910476190475,Education,Elementary_School
188,Middle Row Primary School,51.52676726795899,-0.2109491415416193,Education,Elementary_School
189,Leopold Primary School,51.544268,-0.24658,Education,Elementary_School
190,St Mary's CE School,51.548315104193186,-0.2514224597783956,Education,Elementary_School
193,Fryent Primary School,51.577156,-0.262721,Education,Elementary_School
197,Sunnyfields Primary School,51.59158153173938,-0.23042181909713524,Education,Elementary_School
198,Etz Chaim Primary School,51.61543,-0.240477,Education,Elementary_School
199,St. Martin's School,51.615918,-0.247552,Education,Elementary_School
200,Etz Chaime Primary School,51.597475662863445,-0.23343740093872406,Education,Elementary_School
201,St Paul's CE Primary School,51.61899555257656,-0.2301364416829353,Education,Elementary_School
202,St Mary's and St John's Primary School,51.5831852,-0.225262,Education,Elementary_School
203,Chalgrove Primary School,51.591512819364546,-0.2067477890911785,Education,Elementary_School
205,Bell Lane Primary School,51.587532333384544,-0.21633410653961951,Education,Elementary_School
206,St Mary’s Primary,51.604073,-0.202234,Education,Elementary_School
207,Frith Manor Primary School,51.614665740552105,-0.2025002476717669,Education,Elementary_School
208,Hasmonean Primary School,51.582417,-0.21562,Education,Elementary_School
209,Akiva School,51.595215230570226,-0.18971096259552434,Education,Elementary_School
211,Fairway Primary School,51.627737,-0.256981,Education,Elementary_School
215,Rosh Pinah Primary School,51.62661348211732,-0.2709413682646397,Education,Elementary_School
219,St Joseph's RC Primary School,51.33011,-0.17578,Education,Elementary_School
220,Banstead Junior School,51.32149285804527,-0.2082924321223456,Education,Elementary_School
221,St Annes Catholic Primary school,51.32252282185302,-0.2023740565732783,Education,Elementary_School
222,Woodcote Primary School,51.329104426694094,-0.13973637952494183,Education,Elementary_School
223,Smitham Primary,51.318696,-0.144354,Education,Elementary_School
224,St Aidans Catholic Primary School,51.31846301222124,-0.14395952224731445,Education,Elementary_School
225,Avenue primary academy,51.347539241970765,-0.20414121638259564,Education,Elementary_School
227,Barrow Hedges Primary School,51.352660657623446,-0.17470642757493818,Education,Elementary_School
228,Devonshire Primary School,51.353585,-0.189861,Education,Elementary_School
229,Manor Park Primary school,51.365596,-0.188402,Education,Elementary_School
231,Ronin Hood Junior School,51.365160530817455,-0.19564142444379398,Education,Elementary_School
232,Tweeddale Primary School,51.38429653676336,-0.17966508865356445,Education,Elementary_School
233,ST Teresa R C Primary School,51.388896320005806,-0.18200397491455075,Education,Elementary_School
234,Liberty Primary School,51.409563510446304,-0.17228968689220028,Education,Elementary_School
235,Culvers House Primary School,51.38172553065181,-0.1590589609867356,Education,Elementary_School
236,All Saints Carshalton CofE Primary School,51.36471110970934,-0.1587132271702281,Education,Elementary_School
237,Holy Trinity Primary School,51.42250398811206,-0.1912496519728234,Education,Elementary_School
239,Pelham Primary School,51.416509,-0.197129,Education,Elementary_School
240,Sellincourt Primary School,51.423497034175256,-0.1684427261352539,Education,Elementary_School
243,Beatrix Potter School,51.44400708902724,-0.1822323195600133,Education,Elementary_School
244,Tooting Primary School,51.42652753210938,-0.1628422737121582,Education,Elementary_School
246,Swaffield School,51.45077,-0.18515456,Education,Elementary_School
249,Garfield Primary School,51.42320799689817,-0.18535749079580813,Education,Elementary_School
250,Belleville School,51.45744154579358,-0.16340560717616295,Education,Elementary_School
251,telferscot primary school,51.4428070000198,-0.13708721503153384,Education,Elementary_School
255,Shaftesbury Park School,51.46874272033401,-0.1576608906174096,Education,Elementary_School
256,Broomwood Hall,51.451895,-0.156728,Education,Elementary_School
257,Lark Hall Primary School,51.47015645116515,-0.13039827346801758,Education,Elementary_School
258,Ravenstone Primary School,51.4414187127111,-0.15318074487846284,Education,Elementary_School
259,Clapham Manor Primary School,51.4645516601882,-0.1374341723644726,Education,Elementary_School
260,Fircroft School,51.43637858191708,-0.16190953057239413,Education,Elementary_School
261,St Mary's School,51.459028,-0.13731,Education,Elementary_School
262,Allfarthing Primary School,51.453703,-0.185773,Education,Elementary_School
263,Hornsby House School,51.444652,-0.157411,Education,Elementary_School
264,stepping stone,51.44136861813912,-0.15145080970163122,Education,Elementary_School
266,St Cuthbert with St Matthias,51.489222,-0.193549,Education,Elementary_School
267,Richmond University-Ambassador House,51.49873382681364,-0.18197941255339697,Education,Elementary_School
270,Bousfield primary School,51.49015515952121,-0.18675144333686622,Education,Elementary_School
271,hawkesdown house school,51.50737380981445,-0.19650936126708984,Education,Elementary_School
272,Fulham Prep,51.48645863892995,-0.20965485299324804,Education,Elementary_School
273,Fulham Primary School,51.483420959074245,-0.19709865439934623,Education,Elementary_School
277,Wetherby School,51.511338,-0.195028,Education,Elementary_School
283,Holland Park Pre-Prep School and nursery,51.497238,-0.206525,Education,Elementary_School
286,Paddington Green Primary School,51.523033520901954,-0.17741395521923198,Education,Elementary_School
287,eaton house school,51.494057,-0.154775,Education,Elementary_School
288,Soho Parish Primary School,51.511499695412375,-0.13411025962427134,Education,Elementary_School
290,St Peter's Eaton Square CE Primary,51.49594932012833,-0.14656845093993434,Education,Elementary_School
292,St Joseph's Catholic Primary School,51.527502,-0.182308,Education,Elementary_School
293,St George's Hanover Square Primary School,51.508916,-0.150124,Education,Elementary_School
294,St-Vincent RC Primary School,51.51742316742404,-0.15166026955208037,Education,Elementary_School
296,St Eugene De Mazenod RC Primary School,51.54111199122538,-0.19397665635994638,Education,Elementary_School
298,St Dominic Catholic Primary,51.550186035173105,-0.15657010015897552,Education,Elementary_School
303,Hampstead Hill School,51.55348326148751,-0.16799551556489073,Education,Elementary_School
305,BBH Barn,51.515335,-0.139831,Education,Elementary_School
306,Hallfield Junior school,51.51498,-0.185608,Education,Elementary_School
308,Hampstead Parrochial School,51.5563,-0.179022,Education,Elementary_School
314,Christ Church Primary School,51.55869830431341,-0.1775020847716009,Education,Elementary_School
316,New End Primary School,51.558252,-0.176339,Education,Elementary_School
318,Claremont Primary School,51.565692,-0.217653,Education,Elementary_School
319,Martin Primary School,51.594762433553456,-0.16762991800061214,Education,Elementary_School
320,Holy Trinity Primary School,51.59095426723453,-0.16912829682129926,Education,Elementary_School
321,The london centre for children with cerebral palsy,51.602919793640474,-0.15494110532955,Education,Elementary_School
322,Tetherdown Primary School,51.58808442974166,-0.1517430280295482,Education,Elementary_School
325,Muswell Hill Primary School,51.59213494980909,-0.13966361732229846,Education,Elementary_School
326,Highgate Primary School,51.57903578497189,-0.15502349957763215,Education,Elementary_School
327,Treehouse School,51.58685645725601,-0.14981746673583984,Education,Elementary_School
328,Tetherdown school,51.59013286011078,-0.15176008756303638,Education,Elementary_School
329,St Michael's primary school Highgate,51.57372,-0.151122,Education,Elementary_School
330,Norfolk House School,51.590664494406326,-0.14477420123150075,Education,Elementary_School
331,Summer side Primary School,51.609783,-0.167217,Education,Elementary_School
332,St. Pauls C Of E Primary School,51.616648402351025,-0.14303501559484325,Education,Elementary_School
333,woodridge primary school,51.623727,-0.19383,Education,Elementary_School
338,The Hayes Primary School,51.316674410839646,-0.1082782740949294,Education,Elementary_School
340,Reedham Park School,51.325216,-0.119122,Education,Elementary_School
341,St Francis Catholic Primary School,51.295861,-0.08497,Education,Elementary_School
343,Ridgeway Primary School,51.345182,-0.085002,Education,Elementary_School
348,Ecclesbourne Primary School & Children's Centre,51.391681407959894,-0.10286808013916016,Education,Elementary_School
349,Ark Oval Primary Academy,51.378137616635755,-0.089558274978768,Education,Elementary_School
350,Cypress Junior School,51.406881135217475,-0.0830147793740971,Education,Elementary_School
351,Kingsley Primary School,51.38085231972598,-0.11874764013247141,Education,Elementary_School
352,Whitehorse Manor Infant School,51.39654397442016,-0.09225177277776686,Education,Elementary_School
353,Park Hill Infants School,51.37104353229722,-0.08898978409703165,Education,Elementary_School
354,St Leonard's Primary School,51.42712,-0.135526,Education,Elementary_School
356,St Johns Primary School,51.427498219915165,-0.15680575375880726,Education,Elementary_School
358,Granton Primary School,51.414522,-0.14219,Education,Elementary_School
360,Woodmansterne Primary School,51.418440120518426,-0.13586395821790775,Education,Elementary_School
361,St Joseph's Junior School,51.42135790736509,-0.09981517297751247,Education,Elementary_School
362,Richard Atkins Primary School,51.44801622351378,-0.12657880783081055,Education,Elementary_School
363,Julian's Primary School,51.42906282740945,-0.11565685272216795,Education,Elementary_School
368,Orchard Primary School,51.444862,-0.122451,Education,Elementary_School
369,Jessop Primary School,51.46052672633242,-0.10053268350047895,Education,Elementary_School
370,St Jude's C E Primary School,51.454490661621094,-0.10504080355167389,Education,Elementary_School
371,Hill Mead Primary School,51.461929,-0.107362,Education,Elementary_School
373,"St Saviours CE Primary School, Herne Hill",51.46331800835675,-0.098419136878794,Education,Elementary_School
374,Goose Green Primary School,51.461384567814285,-0.07707907547038641,Education,Elementary_School
375,Dulwich Village Infants School,51.452561919160004,-0.08664831164833989,Education,Elementary_School
376,Rosemeade primary school,51.439572,-0.10176,Education,Elementary_School
377,Sudbourne Primary School,51.457692560355014,-0.1197923265418696,Education,Elementary_School
379,Corpus Christi Catholic School,51.45553120037041,-0.12016296386718749,Education,Elementary_School
380,The Belham Primary School,51.466356,-0.073065,Education,Elementary_School
381,Judith Kerr Primary School,51.4528195328276,-0.0931091298116371,Education,Elementary_School
382,St. George's CE Primary School,51.4803607590618,-0.08358852032306874,Education,Elementary_School
384,St Stephen's CE Primary School,51.47986601175376,-0.1214392131462965,Education,Elementary_School
388,Turney School,51.446961,-0.097983,Education,Elementary_School
389,Eaton Square School,51.49269995089747,-0.14322794261859795,Education,Elementary_School
392,Millbank Academy,51.49184,-0.12983936,Education,Elementary_School
394,Crampton Primary School,51.48984314364363,-0.10081707754035962,Education,Elementary_School
396,Oasis Academy Johanna,51.50158680411557,-0.11151617015404348,Education,Elementary_School
398,Keyworth Primary School,51.48657785082288,-0.10442298509346999,Education,Elementary_School
399,Millbank Primary School,51.492022821555835,-0.13036244157669666,Education,Elementary_School
400,Fairley House School,51.49520185114362,-0.11744362651537182,Education,Elementary_School
403,St Jude's C E Primary School,51.496682,-0.105261,Education,Elementary_School
404,Moreland Primary School,51.527973,-0.100913,Education,Elementary_School
405,Canon Barnett Primary School,51.51584,-0.070986,Education,Elementary_School
406,Sir John Cass Primary School,51.513635317117675,-0.07691312571667494,Education,Elementary_School
408,Swanlea School,51.52085,-0.060055,Education,Elementary_School
409,Drayton Park Primary School,51.551903,-0.105486,Education,Elementary_School
410,William Tyndale School,51.54172638675373,-0.10149301108734607,Education,Elementary_School
411,New North Primary Academy,51.53877161299173,-0.095172,Education,Elementary_School
412,Lawdale Junior School,51.528197,-0.062385,Education,Elementary_School
413,Hanover Primary School,51.532925,-0.09835929,Education,Elementary_School
415,Hoxton Garden primary,51.533962722842205,-0.08099912855814896,Education,Elementary_School
416,Laycock Primary School,51.54434005674141,-0.10469198226928711,Education,Elementary_School
417,Thornhill primary school,51.54038436390496,-0.10922126032766634,Education,Elementary_School
418,Argyle School,51.52827110410086,-0.12432303816246235,Education,Elementary_School
419,St Andrews Primary School,51.538376,-0.115042,Education,Elementary_School
420,St Mary's Church of England Primary School,51.53949,-0.099850595,Education,Elementary_School
421,Christ Church Spitalfields Primary School,51.51880772153764,-0.07160887615526744,Education,Elementary_School
422,Harry Gosling Primary School,51.5150910615921,-0.06591260433197021,Education,Elementary_School
423,Canonbury Primary School,51.54522877139532,-0.10101091797524582,Education,Elementary_School
424,Czech school London,51.54761505126953,-0.11383462697267532,Education,Elementary_School
425,St Anne's RC Primary,51.52077644901571,-0.06728821211506991,Education,Elementary_School
426,Betty Layward,51.515296,-0.089306,Education,Elementary_School
427,Christopher Hatton,51.52281626040696,-0.11216733869361795,Education,Elementary_School
430,New Thomas Fairchild School,51.53336000464957,-0.09071784332266386,Education,Elementary_School
431,Yerbury Primary School,51.561164,-0.128212,Education,Elementary_School
432,Rokesly Junior School,51.582737825277796,-0.11983589557867677,Education,Elementary_School
434,Tuffnell Park Primary School,51.5543627823659,-0.12908803248236164,Education,Elementary_School
436,torriano infant school,51.548728942871094,-0.13202974200248718,Education,Elementary_School
437,St John's Upper Holloway CE Primary School,51.56258439095443,-0.13268930239279725,Education,Elementary_School
438,St John's Primary School,51.55823645513431,-0.10026097297668457,Education,Elementary_School
443,Hargrave Park Primary,51.56395844452422,-0.13949618440768147,Education,Elementary_School
446,Coleridge Primary School,51.57571930522008,-0.1271536798406345,Education,Elementary_School
449,Brookfield School,51.563613426315854,-0.1441908428764482,Education,Elementary_School
450,Christ the King RC Primary School,51.56615,-0.11494,Education,Elementary_School
452,Noel Park Primary School,51.59546747967659,-0.1032719042671851,Education,Elementary_School
453,St. Ann's Primary School,51.58107708768035,-0.08549533378079971,Education,Elementary_School
455,Devonshire  hill primary school,51.60701886810712,-0.08109207533087238,Education,Elementary_School
456,Lordship Lane Primary School,51.59827604510897,-0.09536440993858869,Education,Elementary_School
457,Woodberry Down Community Primary School,51.573439595397964,-0.09123256952901614,Education,Elementary_School
458,Tiverton Primary School,51.576644,-0.085582,Education,Elementary_School
459,Oakthorpe Primary School,51.61392596,-0.0940871,Education,Elementary_School
461,Alexandra Primary School,51.59525087890572,-0.11491742344606355,Education,Elementary_School
462,Harris Academy,51.58743520371582,-0.08739632553453713,Education,Elementary_School
464,Weston Park School,51.580643353666225,-0.11301002085875844,Education,Elementary_School
465,Campsbourne Primary School,51.591111043706114,-0.12171633038479929,Education,Elementary_School
466,Osidge Primary School,51.634074227857695,-0.1354638173268128,Education,Elementary_School
467,Salcombe Preparatory Site,51.63781035257905,-0.13988256454467773,Education,Elementary_School
469,Wolfson Hillel Primary School,51.63932253856065,-0.12672183094776024,Education,Elementary_School
471,West Grove Primary School,51.63675487403223,-0.1257559149940434,Education,Elementary_School
473,Garfield Primary School,51.61394752462614,-0.13586692058006786,Education,Elementary_School
474,Chase Side Primary School,51.658876,-0.088457,Education,Elementary_School
478,St. John's CoE Primary School,51.27431119321867,-0.07085967356779671,Education,Elementary_School
479,Marden Lodge Primary School,51.295994,-0.070757,Education,Elementary_School
480,Selsdon Primary School,51.3474231,-0.05162178571428571,Education,Elementary_School
484,Monks Orchard Primary School,51.391256,-0.049013,Education,Elementary_School
485,Harris Primary Academy Kent House,51.412541,-0.048483,Education,Elementary_School
486,Balgowan Primary School,51.40447992054533,-0.03918170928955078,Education,Elementary_School
487,Oak Lodge Primary,51.38100230337098,-0.02308856264584558,Education,Elementary_School
488,Unicorn Primary School,51.392345,-0.022138,Education,Elementary_School
489,Churchfields Primary School,51.404743317290176,-0.04796018117581347,Education,Elementary_School
490,Clare House Primary School,51.404876,-0.012725,Education,Elementary_School
491,Rockmount School,51.418346,-0.09196222,Education,Elementary_School
492,Our Lady & St Philip Neri RC School,51.426703,-0.041241,Education,Elementary_School
494,Horniman School,51.444192,-0.058277,Education,Elementary_School
497,James Dixon Primary School,51.410861,-0.069025,Education,Elementary_School
499,Haseltine Primary School,51.43009341110512,-0.03765336732885934,Education,Elementary_School
501,St Anthony's Catholic Primary School,51.410232,-0.059751,Education,Elementary_School
503,Adamsrill Primary School,51.429917463652636,-0.04169352236352241,Education,Elementary_School
504,Beecroft Gardens Primary School,51.45697317164026,-0.03544752684305481,Education,Elementary_School
505,James Woolfe PS,51.47938514980992,-0.012721949582175061,Education,Elementary_School
507,Tidemill Primary School,51.47765873318267,-0.02344302981553573,Education,Elementary_School
508,St Mary's CE Primary School,51.4549829965583,-0.014913082122802734,Education,Elementary_School
510,St Mary Magdalen's Catholic Primary School,51.45955561701955,-0.037829875946044915,Education,Elementary_School
511,James Wolfe Primary School,51.479314,-0.012922,Education,Elementary_School
512,Holy Cross Roman Catholic Primary School,51.44246611384954,-0.013904571533203125,Education,Elementary_School
513,Kender Primary School,51.47506935526755,-0.051327350416221516,Education,Elementary_School
514,Brindishe Green School,51.45160401227606,-0.003963217170723373,Education,Elementary_School
515,Dalmain Primary School,51.443595882955364,-0.044055072082060595,Education,Elementary_School
516,Rathfern Primary School,51.44047722460482,-0.032579607797130115,Education,Elementary_School
517,Ilderton  primary School,51.480756,-0.053711,Education,Elementary_School
519,Ashmead School,51.469379,-0.025093,Education,Elementary_School
520,LVC London School of English,51.4912085,-0.08201449999999999,Education,Elementary_School
521,Boutcher Primary School,51.494315,-0.075991,Education,Elementary_School
522,Redriff Primary School,51.5018801128795,-0.03678777596946449,Education,Elementary_School
524,Alfred Salter Primary School,51.49982281342773,-0.04425881976439725,Education,Elementary_School
527,Albion Primary School,51.499973957576465,-0.052024126052856445,Education,Elementary_School
532,Harris Primary Free School,51.473125,-0.07341,Education,Elementary_School
534,Bigland Green Primary School,51.51277553632697,-0.059266090393066406,Education,Elementary_School
536,Solebay Primary School,51.522639,-0.038152,Education,Elementary_School
538,London Fields School,51.53720674739243,-0.0599527359008789,Education,Elementary_School
540,Manorfield Primary,51.51867992287978,-0.013048009681663558,Education,Elementary_School
543,Rushmore Primary School,51.554554,-0.045327,Education,Elementary_School
